                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 0.5505,                0.51666,                 1.1282,                0.89789,                0.86893,                 0.9449,                0.76541,                0.86482,                0.58723,                 1.5118,             0.00015498,             0.00015498,             0.00015498
                     57,                0.53523,                0.49835,                 1.1095,                0.92119,                0.86208,                0.94565,                0.74678,                0.90264,                0.56712,                 1.5442,             0.00015168,             0.00015168,             0.00015168
                     58,                0.55184,                0.51786,                 1.1223,                0.91686,                0.88774,                0.94952,                0.75019,                0.91326,                 0.5573,                  1.531,             0.00014838,             0.00014838,             0.00014838
                     59,                0.53348,                0.50141,                 1.1065,                0.93801,                0.88418,                0.94274,                0.73742,                0.92309,                 0.6021,                 1.5356,             0.00014509,             0.00014509,             0.00014509
                     60,                0.53159,                0.49044,                 1.1125,                0.92247,                0.85761,                0.93906,                0.75338,                 0.8922,                0.58747,                 1.5231,             0.00014179,             0.00014179,             0.00014179
                     61,                 0.5383,                0.49677,                 1.1164,                0.92702,                0.89792,                0.95177,                 0.7599,                 0.8903,                 0.5798,                 1.5257,             0.00013849,             0.00013849,             0.00013849
                     62,                0.52799,                0.48968,                 1.1085,                0.94212,                0.87657,                0.95126,                0.76775,                0.84507,                0.50275,                 1.4704,              0.0001352,              0.0001352,              0.0001352
                     63,                0.53575,                0.48968,                 1.1151,                0.94068,                0.88067,                0.95523,                0.76229,                0.88101,                0.57912,                 1.5034,              0.0001319,              0.0001319,              0.0001319
                     64,                0.52506,                0.47526,                 1.1049,                0.89731,                0.90227,                0.95525,                0.73323,                0.94898,                0.60809,                   1.61,              0.0001286,              0.0001286,              0.0001286
                     65,                0.52372,                0.47082,                 1.1031,                0.93811,                  0.905,                0.94799,                 0.7649,                0.85218,                0.53413,                 1.4813,             0.00012531,             0.00012531,             0.00012531
                     66,                0.51021,                0.45924,                 1.0926,                  0.924,                0.88173,                0.95698,                0.75731,                0.89798,                0.56338,                 1.5219,             0.00012201,             0.00012201,             0.00012201
                     67,                0.52431,                0.47023,                 1.1143,                 0.9194,                0.90084,                0.95099,                0.74971,                0.89582,                0.60056,                 1.5262,             0.00011871,             0.00011871,             0.00011871
                     68,                0.51027,                0.45897,                 1.0972,                0.92605,                0.90422,                0.95408,                0.74577,                0.94587,                0.57257,                 1.5892,             0.00011542,             0.00011542,             0.00011542
                     69,                0.50922,                0.47146,                  1.096,                0.91052,                0.88348,                0.94679,                 0.7723,                0.81371,                0.59924,                  1.439,             0.00011212,             0.00011212,             0.00011212
                     70,                0.49877,                0.45059,                 1.0924,                0.94478,                0.88472,                0.94545,                0.77322,                0.85963,                0.57363,                 1.4914,             0.00010882,             0.00010882,             0.00010882
                     71,                0.50623,                0.45395,                 1.0967,                0.92256,                 0.8789,                0.95493,                0.77512,                0.86088,                0.57019,                 1.4897,             0.00010553,             0.00010553,             0.00010553
                     72,                0.50413,                 0.4503,                 1.0922,                0.92557,                0.88531,                0.94715,                0.74536,                0.90695,                0.55737,                 1.5492,             0.00010223,             0.00010223,             0.00010223
                     73,                0.50155,                0.44758,                 1.0845,                0.93963,                0.85972,                0.94989,                0.74753,                0.94456,                 0.5309,                 1.6106,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     74,                0.48961,                0.44017,                 1.0775,                0.90295,                0.90317,                0.95551,                  0.761,                0.89245,                0.53069,                 1.5412,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     75,                0.48626,                0.43132,                 1.0802,                0.94156,                0.88764,                0.95261,                0.76593,                0.85625,                0.51467,                 1.4762,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     76,                0.49678,                0.42723,                  1.078,                0.87911,                0.90341,                0.95188,                0.75334,                0.90273,                0.54615,                 1.5442,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     77,                0.49363,                 0.4189,                 1.0867,                0.91302,                0.88801,                0.94148,                0.75148,                0.89992,                0.55387,                 1.5462,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     78,                0.48598,                0.42733,                  1.075,                  0.918,                0.88533,                0.94599,                 0.7759,                0.82973,                0.54541,                 1.4502,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     79,                 0.4869,                0.41336,                 1.0826,                 0.9407,                0.88826,                0.96402,                0.76607,                0.89525,                 0.5188,                  1.552,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     80,                0.49768,                0.43718,                 1.0872,                0.93545,                0.87909,                0.95879,                0.77517,                0.88144,                0.54835,                 1.5362,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     81,                 0.4822,                0.42371,                 1.0719,                0.94906,                0.89823,                0.97291,                0.78033,                0.89314,                 0.5255,                 1.5473,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     82,                0.49222,                 0.4196,                 1.0843,                0.92403,                0.88771,                0.95837,                0.77323,                0.84753,                0.53999,                 1.4949,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     83,                0.49081,                0.42784,                  1.081,                0.93483,                0.87083,                0.95106,                0.77127,                0.84491,                0.53168,                 1.4783,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     84,                0.46376,                0.40244,                  1.067,                0.94916,                0.88642,                0.95896,                0.77142,                0.89499,                0.53935,                 1.5532,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     85,                0.47542,                0.40914,                 1.0763,                0.94541,                0.86761,                0.95985,                0.77831,                0.83967,                0.52513,                 1.4864,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     86,                0.48296,                0.41411,                 1.0787,                0.94439,                0.87989,                 0.9631,                0.77125,                0.88406,                0.52435,                 1.5404,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     87,                0.46753,                0.39081,                 1.0641,                0.94427,                0.89017,                0.96505,                 0.7866,                0.83092,                0.53113,                 1.4739,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     88,                0.46915,                0.38632,                 1.0606,                0.93735,                0.88395,                0.96308,                0.76551,                0.87712,                0.51815,                 1.5262,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     89,                  0.479,                0.40254,                 1.0714,                0.94407,                0.88863,                0.95675,                0.77047,                 0.8676,                0.50438,                 1.5126,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     90,                0.48007,                0.41063,                 1.0775,                0.92377,                0.89042,                0.96124,                0.76426,                0.89258,                0.53403,                 1.5619,              4.289e-05,              4.289e-05,              4.289e-05
                     91,                0.36183,                0.26716,                  1.029,                0.91085,                0.89377,                0.94573,                0.76328,                0.86014,                 0.5831,                 1.5082,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     92,                0.34928,                0.25803,                0.99935,                 0.9147,                0.88599,                0.94681,                0.76661,                0.85529,                0.56618,                 1.5172,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     93,                0.34943,                0.25728,                 1.0198,                0.93232,                0.90094,                0.96348,                0.77844,                0.87601,                0.54439,                 1.5443,                3.3e-05,                3.3e-05,                3.3e-05
                     94,                0.34734,                 0.2493,                 1.0082,                0.93137,                0.89509,                0.95945,                0.78328,                0.83518,                0.53832,                 1.4879,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     95,                0.34171,                0.24833,                  1.004,                0.93416,                0.88476,                0.95948,                0.77215,                0.87986,                0.56619,                 1.5444,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     96,                0.33917,                0.24171,                 1.0062,                0.91198,                0.90206,                0.96094,                0.78023,                0.85988,                0.54144,                 1.5157,              2.311e-05,              2.311e-05,              2.311e-05
                     97,                0.34002,                0.24444,                 1.0093,                0.90974,                0.90539,                0.95787,                0.77728,                0.85975,                0.53543,                 1.5197,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     98,                0.33217,                0.23756,                0.99244,                0.92098,                 0.8955,                0.95699,                0.78145,                0.84598,                0.54094,                 1.5026,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     99,                0.32904,                0.23474,                0.98369,                0.91188,                0.90476,                0.96044,                 0.7816,                 0.8495,                0.52834,                 1.5105,              1.322e-05,              1.322e-05,              1.322e-05
                    100,                0.33298,                0.23696,                0.99313,                0.92733,                0.88864,                0.96382,                0.78783,                0.83902,                0.53021,                 1.4948,             9.9234e-06,             9.9234e-06,             9.9234e-06
